@relation images
@attribute faces_detected_up real
@attribute faces_detected_right real
@attribute faces_detected_down real
@attribute faces_detected_left real
@attribute reg0r-avg real
@attribute reg0r-var real
@attribute reg0g-avg real
@attribute reg0g-var real
@attribute reg0b-avg real
@attribute reg0b-var real
@attribute reg1r-avg real
@attribute reg1r-var real
@attribute reg1g-avg real
@attribute reg1g-var real
@attribute reg1b-avg real
@attribute reg1b-var real
@attribute reg2r-avg real
@attribute reg2r-var real
@attribute reg2g-avg real
@attribute reg2g-var real
@attribute reg2b-avg real
@attribute reg2b-var real
@attribute reg3r-avg real
@attribute reg3r-var real
@attribute reg3g-avg real
@attribute reg3g-var real
@attribute reg3b-avg real
@attribute reg3b-var real
@attribute class { "right", "down", "up", "left" }
@data
0,0,3,0,0.3251247406,0.0133703115,0.4403781891,0.0119520511,0.1992435455,0.0138191202,0.8083229065,0.0424921673,0.8385066986,0.0335187395,0.7688350677,0.0675280984,0.3616311522,0.0364018036,0.4191095583,0.0373154101,0.2777104384,0.0397175187,0.3824916477,0.0175431278,0.4785920184,0.0219925793,0.2901141827,0.0170094895,"down"
3,0,0,0,0.6253565008,0.0855560495,0.4197651256,0.0493675983,0.3277463046,0.0324381836,0.7410153476,0.0235386298,0.5324235396,0.0179830022,0.3839305531,0.0155240476,0.7952254887,0.0303073883,0.6277417802,0.011043657,0.4553280509,0.0124130962,0.7451088566,0.0197158008,0.4601099674,0.0250666925,0.3299874111,0.0284977944,"down"
4,0,1,0,0.1729679739,0.0163741892,0.1389564363,0.0100840334,0.1123111548,0.0072656783,0.645734168,0.0776630609,0.6041946916,0.0805704672,0.6139603166,0.0698224692,0.2523298919,0.0049724893,0.2014793514,0.0046095061,0.1964557927,0.008580696,0.6399061114,0.1554482784,0.5978641214,0.1609749034,0.5574937639,0.1612765103,"up"
1,2,3,1,0.3160414262,0.0496095768,0.3662636497,0.0613301369,0.3725572066,0.0671039048,0.6142037132,0.0517497711,0.6025335138,0.0530771017,0.6414711692,0.0515331673,0.8106635071,0.0402073259,0.8448811463,0.0216362113,0.8693942536,0.0163809147,0.2605117002,0.0425914785,0.2834771179,0.0399368295,0.3028750741,0.0471117265,"left"
4,1,0,0,0.5076123047,0.0711034565,0.5197900391,0.0636737345,0.5133642578,0.0666893585,0.4850537109,0.0077695246,0.5622753906,0.0121010467,0.6690625,0.0217825562,0.4232728888,0.0282848299,0.461107337,0.0318071466,0.46415787,0.0451913422,0.7250339674,0.035273024,0.6993755226,0.0472862993,0.7714321175,0.0461162297,"up"
0,0,0,0,0.1906014902,0.0255444137,0.5385516131,0.0161596855,0.5831901644,0.0171193067,0.5090844425,0.056926381,0.4194215374,0.0322401228,0.3938802083,0.0164301484,0.4900929906,0.0755764585,0.4997253102,0.0700651122,0.4890851215,0.0658443423,0.5434696549,0.0799080234,0.5554065408,0.065230822,0.57440053,0.0550524471,"down"
0,0,0,0,0.1568450928,0.0123386147,0.156496915,0.0121357915,0.1522702304,0.010335272,0.6595958363,0.0068563117,0.7111649947,0.0043383319,0.8062813499,0.0013647631,0.3224692684,0.0447786432,0.3372945053,0.0509178296,0.3635552429,0.0661335561,0.4736244816,0.1542248142,0.477654769,0.1572716665,0.474402029,0.1578527626,"down"
0,0,1,0,0.6240966797,0.0525323337,0.5895304362,0.0395152223,0.5900960286,0.0291775703,0.7162882487,0.013161941,0.6581705729,0.0259088506,0.6205240885,0.0375608378,0.4656108548,0.0282200744,0.4251555971,0.0224739984,0.4307810324,0.0189931276,0.6510815634,0.0377353899,0.616311586,0.0372417078,0.5935813458,0.0353671881,"down"
3,0,1,0,0.565776825,0.0364510876,0.497253418,0.0429833295,0.456296285,0.0407972895,0.5831883748,0.0690957528,0.4945170085,0.0762966845,0.4353167216,0.0682625142,0.536629154,0.0806038752,0.5164938097,0.0865893865,0.5162002471,0.0733557275,0.3816161897,0.0297461084,0.269483737,0.0209788972,0.210569274,0.0184651402,"up"
0,1,0,1,0.7598571777,0.0694624427,0.7070687034,0.0724907178,0.7539256703,0.0683904557,0.4256938588,0.0050526618,0.3444033536,0.0028504037,0.3551233465,0.0021778073,0.5266291469,0.060344283,0.4715547245,0.060055869,0.5024844491,0.0684553713,0.2942850267,0.019779306,0.2341324793,0.0122517436,0.2435759775,0.0116060911,"up"
